year,area_km2,eez_km2,cum_km2,cum_pct,score
1960,NA,NA,NA,0,0
1970,12.814848101743221,76559.30242241896,12.814848101743221,0.016738459855651235,0.08369229927825617
2018,NA,NA,NA,0.016738459855651235,0.08369229927825617
